"Market","Season","Date","Bales","Total"
"US_Average","2024/2025",2025-07-31,"Cumulative",995781
"US_Average","2024/2025",2025-07-31,"Daily",326
"US_Average","2024/2025",2025-07-30,"Cumulative",995455
"US_Average","2024/2025",2025-07-30,"Daily",309
"US_Average","2024/2025",2025-07-29,"Cumulative",995146
"US_Average","2024/2025",2025-07-29,"Daily",2224
"US_Average","2024/2025",2025-07-28,"Cumulative",992922
"US_Average","2024/2025",2025-07-28,"Daily",125
"US_Average","2024/2025",2025-07-25,"Cumulative",992797
"US_Average","2024/2025",2025-07-25,"Daily",801
"US_Average","2024/2025",2025-07-24,"Cumulative",991996
"US_Average","2024/2025",2025-07-24,"Daily",2800
"US_Average","2024/2025",2025-07-23,"Cumulative",989196
"US_Average","2024/2025",2025-07-23,"Daily",1093
"US_Average","2024/2025",2025-07-22,"Cumulative",988103
"US_Average","2024/2025",2025-07-22,"Daily",95
"US_Average","2024/2025",2025-07-21,"Cumulative",988008
"US_Average","2024/2025",2025-07-21,"Daily",58
"US_Average","2024/2025",2025-07-18,"Cumulative",987950
"US_Average","2024/2025",2025-07-18,"Daily",385
"US_Average","2024/2025",2025-07-17,"Cumulative",987565
"US_Average","2024/2025",2025-07-17,"Daily",21
"US_Average","2024/2025",2025-07-16,"Cumulative",987544
"US_Average","2024/2025",2025-07-16,"Daily",2934
"US_Average","2024/2025",2025-07-15,"Cumulative",984610
"US_Average","2024/2025",2025-07-15,"Daily",627
"US_Average","2024/2025",2025-07-14,"Cumulative",983983
"US_Average","2024/2025",2025-07-14,"Daily",0
"US_Average","2024/2025",2025-07-11,"Cumulative",983983
"US_Average","2024/2025",2025-07-11,"Daily",0
"US_Average","2024/2025",2025-07-10,"Cumulative",983983
"US_Average","2024/2025",2025-07-10,"Daily",274
"US_Average","2024/2025",2025-07-09,"Cumulative",983709
"US_Average","2024/2025",2025-07-09,"Daily",2465
"US_Average","2024/2025",2025-07-08,"Cumulative",981244
"US_Average","2024/2025",2025-07-08,"Daily",0
"US_Average","2024/2025",2025-07-07,"Cumulative",981244
"US_Average","2024/2025",2025-07-07,"Daily",0
"US_Average","2024/2025",2025-07-03,"Cumulative",981244
"US_Average","2024/2025",2025-07-03,"Daily",0
"US_Average","2024/2025",2025-07-02,"Cumulative",981244
"US_Average","2024/2025",2025-07-02,"Daily",97
"US_Average","2024/2025",2025-07-01,"Cumulative",981147
"US_Average","2024/2025",2025-07-01,"Daily",1885
"US_Average","2024/2025",2025-06-30,"Cumulative",979262
"US_Average","2024/2025",2025-06-30,"Daily",3134
"US_Average","2024/2025",2025-06-27,"Cumulative",976128
"US_Average","2024/2025",2025-06-27,"Daily",1788
"US_Average","2024/2025",2025-06-26,"Cumulative",974340
"US_Average","2024/2025",2025-06-26,"Daily",1186
"US_Average","2024/2025",2025-06-25,"Cumulative",973154
"US_Average","2024/2025",2025-06-25,"Daily",182
"US_Average","2024/2025",2025-06-24,"Cumulative",972972
"US_Average","2024/2025",2025-06-24,"Daily",399
"US_Average","2024/2025",2025-06-23,"Cumulative",972573
"US_Average","2024/2025",2025-06-23,"Daily",0
"US_Average","2024/2025",2025-06-20,"Cumulative",972573
"US_Average","2024/2025",2025-06-20,"Daily",2365
"US_Average","2024/2025",2025-06-18,"Cumulative",970208
"US_Average","2024/2025",2025-06-18,"Daily",2244
"US_Average","2024/2025",2025-06-17,"Cumulative",967964
"US_Average","2024/2025",2025-06-17,"Daily",0
"US_Average","2024/2025",2025-06-16,"Cumulative",967964
"US_Average","2024/2025",2025-06-16,"Daily",245
"US_Average","2024/2025",2025-06-13,"Cumulative",967719
"US_Average","2024/2025",2025-06-13,"Daily",0
"US_Average","2024/2025",2025-06-12,"Cumulative",967719
"US_Average","2024/2025",2025-06-12,"Daily",2025
"US_Average","2024/2025",2025-06-11,"Cumulative",965694
"US_Average","2024/2025",2025-06-11,"Daily",0
"US_Average","2024/2025",2025-06-10,"Cumulative",965694
"US_Average","2024/2025",2025-06-10,"Daily",1581
"US_Average","2024/2025",2025-06-09,"Cumulative",964113
"US_Average","2024/2025",2025-06-09,"Daily",0
"US_Average","2024/2025",2025-06-06,"Cumulative",964113
"US_Average","2024/2025",2025-06-06,"Daily",1660
"US_Average","2024/2025",2025-06-05,"Cumulative",962453
"US_Average","2024/2025",2025-06-05,"Daily",309
"US_Average","2024/2025",2025-06-04,"Cumulative",962144
"US_Average","2024/2025",2025-06-04,"Daily",1957
"US_Average","2024/2025",2025-06-03,"Cumulative",960187
"US_Average","2024/2025",2025-06-03,"Daily",1174
"US_Average","2024/2025",2025-06-02,"Cumulative",959013
"US_Average","2024/2025",2025-06-02,"Daily",0
"US_Average","2024/2025",2025-05-30,"Cumulative",959013
"US_Average","2024/2025",2025-05-30,"Daily",452
"US_Average","2024/2025",2025-05-29,"Cumulative",958561
"US_Average","2024/2025",2025-05-29,"Daily",440
"US_Average","2024/2025",2025-05-28,"Cumulative",958121
"US_Average","2024/2025",2025-05-28,"Daily",806
"US_Average","2024/2025",2025-05-27,"Cumulative",957315
"US_Average","2024/2025",2025-05-27,"Daily",10
"US_Average","2024/2025",2025-05-23,"Cumulative",957305
"US_Average","2024/2025",2025-05-23,"Daily",243
"US_Average","2024/2025",2025-05-22,"Cumulative",957062
"US_Average","2024/2025",2025-05-22,"Daily",1311
"US_Average","2024/2025",2025-05-21,"Cumulative",955751
"US_Average","2024/2025",2025-05-21,"Daily",243
"US_Average","2024/2025",2025-05-20,"Cumulative",955508
"US_Average","2024/2025",2025-05-20,"Daily",3170
"US_Average","2024/2025",2025-05-19,"Cumulative",952338
"US_Average","2024/2025",2025-05-19,"Daily",707
"US_Average","2024/2025",2025-05-16,"Cumulative",951631
"US_Average","2024/2025",2025-05-16,"Daily",0
"US_Average","2024/2025",2025-05-15,"Cumulative",951631
"US_Average","2024/2025",2025-05-15,"Daily",1145
"US_Average","2024/2025",2025-05-14,"Cumulative",950486
"US_Average","2024/2025",2025-05-14,"Daily",0
"US_Average","2024/2025",2025-05-13,"Cumulative",950486
"US_Average","2024/2025",2025-05-13,"Daily",1415
"US_Average","2024/2025",2025-05-12,"Cumulative",949071
"US_Average","2024/2025",2025-05-12,"Daily",1255
"US_Average","2024/2025",2025-05-09,"Cumulative",947816
"US_Average","2024/2025",2025-05-09,"Daily",797
"US_Average","2024/2025",2025-05-08,"Cumulative",947019
"US_Average","2024/2025",2025-05-08,"Daily",1350
"US_Average","2024/2025",2025-05-07,"Cumulative",945669
"US_Average","2024/2025",2025-05-07,"Daily",4686
"US_Average","2024/2025",2025-05-06,"Cumulative",940983
"US_Average","2024/2025",2025-05-06,"Daily",24
"US_Average","2024/2025",2025-05-05,"Cumulative",940959
"US_Average","2024/2025",2025-05-05,"Daily",1133
"US_Average","2024/2025",2025-05-02,"Cumulative",939826
"US_Average","2024/2025",2025-05-02,"Daily",1752
"US_Average","2024/2025",2025-05-01,"Cumulative",938074
"US_Average","2024/2025",2025-05-01,"Daily",117
"US_Average","2024/2025",2025-04-30,"Cumulative",937957
"US_Average","2024/2025",2025-04-30,"Daily",854
