processo,duracao,status,data_distribuicao,data_decisao,camara,crime,liminar,fisico,decisao
00000107820228260000,35,1,2022-01-07,2022-02-11,2CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00000168520228260000,66,1,2022-01-07,2022-03-14,3CDC,Execução penal,não,sim,denegado
00000177020228260000,14,1,2022-01-07,2022-01-21,6CDC,Execução penal,sim,sim,denegado
00000185520228260000,279,0,2022-01-07,NA,5CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00000211020228260000,14,1,2022-01-07,2022-01-21,3CDC,Furto,não,sim,não conhecido
00000229220228260000,279,0,2022-01-07,NA,8CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00000237720228260000,45,1,2022-01-07,2022-02-21,5CDC,Execução penal,não,sim,não conhecido
00000246220228260000,41,1,2022-01-07,2022-02-17,10CDC,Execução penal,não,sim,não conhecido
00000254720228260000,40,1,2022-01-07,2022-02-16,16CDC,Execução penal,não,sim,denegado
00000263220228260000,33,1,2022-01-07,2022-02-09,16CDC,Roubo Majorado,não,sim,denegado
00000271720228260000,70,1,2022-01-07,2022-03-18,16CDC,Crimes Praticados por Funcionários Públicos Contra a Administração em Geral,não,sim,não conhecido
00000280220228260000,38,1,2022-01-07,2022-02-14,4CDC,Furto Qualificado,não,sim,não conhecido
00000298420228260000,279,0,2022-01-07,NA,6CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00000306920228260000,279,0,2022-01-07,NA,1CDC,Latrocínio,não,sim,NA
00000323920228260000,279,0,2022-01-07,NA,NA,Execução penal,não,sim,NA
00000332420228260000,279,0,2022-01-07,NA,3CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00000713620228260000,40,1,2022-01-07,2022-02-16,12CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00004057020228260000,22,1,2022-01-10,2022-02-01,2CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00004065520228260000,32,1,2022-01-10,2022-02-11,2CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00004091020228260000,25,1,2022-01-10,2022-02-04,7CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00004109220228260000,276,0,2022-01-10,NA,3CDC,Furto Qualificado,não,sim,NA
00004143220228260000,21,1,2022-01-10,2022-01-31,9CDC,Roubo,não,sim,não conhecido
00004212420228260000,276,0,2022-01-10,NA,2CDC,Roubo,não,sim,NA
00004256120228260000,32,1,2022-01-10,2022-02-11,1CDC,Tráfico de Drogas e Condutas Afins,sim,sim,prejudicado/extinto
00004325320228260000,18,1,2022-01-10,2022-01-28,4CDC,Homicídio Qualificado,não,sim,prejudicado/extinto
00004403020228260000,23,1,2022-01-10,2022-02-02,6CDC,Roubo Majorado,não,sim,não conhecido
00004541420228260000,39,1,2022-01-10,2022-02-18,15CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00004637320228260000,32,1,2022-01-10,2022-02-11,3CDC,Falsificação de documento público,não,sim,não conhecido
00005104720228260000,15,1,2022-01-10,2022-01-25,8CDC,Furto,sim,sim,denegado
00005961820228260000,276,0,2022-01-10,NA,10CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00005988520228260000,43,1,2022-01-10,2022-02-22,4CDC,Homicídio Qualificado,não,sim,não conhecido
00005997020228260000,10,1,2022-01-10,2022-01-20,5CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00006014020228260000,16,1,2022-01-10,2022-01-26,6CDC,Homicídio Qualificado,sim,sim,denegado
00006031020228260000,276,0,2022-01-10,NA,6CDC,Homicídio Qualificado,não,sim,NA
00006049220228260000,21,1,2022-01-10,2022-01-31,4CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00006066220228260000,63,1,2022-01-10,2022-03-14,3CDC,Homicídio Qualificado,não,sim,prejudicado/extinto
00006074720228260000,276,0,2022-01-10,NA,14CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00006091720228260000,11,1,2022-01-10,2022-01-21,7CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00006100220228260000,36,1,2022-01-10,2022-02-15,13CDC,Tráfico de Drogas e Condutas Afins,não,sim,prejudicado/extinto
00006118420228260000,59,1,2022-01-10,2022-03-10,5CDC,Latrocínio,não,sim,prejudicado/extinto
00006126920228260000,16,1,2022-01-10,2022-01-26,9CDC,Tráfico de Drogas e Condutas Afins,sim,sim,denegado
00006152420228260000,44,1,2022-01-10,2022-02-23,9CDC,Latrocínio,não,sim,não conhecido
00006187620228260000,8,1,2022-01-10,2022-01-18,8CDC,Estelionato,sim,sim,denegado
00006196120228260000,15,1,2022-01-10,2022-01-25,2CDC,Homicídio Qualificado,não,sim,não conhecido
00007027720228260000,37,1,2022-01-11,2022-02-17,11CDC,Roubo,não,sim,não conhecido
00007036220228260000,37,1,2022-01-11,2022-02-17,11CDC,Roubo,não,sim,não conhecido
00007044720228260000,37,1,2022-01-11,2022-02-17,11CDC,Crimes contra o Patrimônio,não,sim,não conhecido
00007061720228260000,275,0,2022-01-11,NA,4CDC,Execução penal,não,sim,NA
00007070220228260000,275,0,2022-01-11,NA,12CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00007149120228260000,44,1,2022-01-11,2022-02-24,11CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00007157620228260000,275,0,2022-01-11,NA,6CDC,Latrocínio,não,sim,NA
00007183120228260000,31,1,2022-01-11,2022-02-11,1CDC,Roubo,não,sim,não conhecido
00007243820228260000,45,1,2022-01-11,2022-02-25,9CDC,Furto,não,sim,prejudicado/extinto
00007279020228260000,27,1,2022-01-11,2022-02-07,2CDC,Roubo Majorado,não,sim,denegado
00007296020228260000,31,1,2022-01-11,2022-02-11,2CDC,Roubo Majorado,não,sim,não conhecido
00007304520228260000,31,1,2022-01-11,2022-02-11,2CDC,Lesão Corporal,não,sim,não conhecido
00007442920228260000,42,1,2022-01-11,2022-02-22,4CDC,Execução penal,não,sim,não conhecido
00007451420228260000,31,1,2022-01-11,2022-02-11,8CDC,Execução penal,não,sim,não conhecido
00007478120228260000,275,0,2022-01-11,NA,4CDC,Execução penal,não,sim,NA
00007495120228260000,31,1,2022-01-11,2022-02-11,9CDC,Execução penal,não,sim,não conhecido
00007512120228260000,275,0,2022-01-11,NA,7CDC,Roubo,não,sim,NA
00007555820228260000,275,0,2022-01-11,NA,4CDC,Homicídio Qualificado,não,sim,NA
00007608020228260000,66,1,2022-01-11,2022-03-18,4CDC,Latrocínio,não,sim,denegado
00007633520228260000,69,1,2022-01-11,2022-03-21,4CDC,Latrocínio,não,sim,denegado
00007677220228260000,8,1,2022-01-11,2022-01-19,8CDC,Latrocínio,sim,sim,denegado
00007702720228260000,17,1,2022-01-11,2022-01-28,9CDC,Roubo,não,sim,não conhecido
00007711220228260000,275,0,2022-01-11,NA,7CDC,Extorsão mediante seqüestro,não,sim,NA
00007737920228260000,69,1,2022-01-11,2022-03-21,3CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00007754920228260000,275,0,2022-01-11,NA,4CDC,Crimes contra a vida,não,sim,NA
00007807120228260000,83,1,2022-01-11,2022-04-04,1CDC,Execução penal,não,sim,não conhecido
00007824120228260000,71,1,2022-01-11,2022-03-23,3CDC,Execução penal,não,sim,não conhecido
00007859320228260000,275,0,2022-01-11,NA,10CDC,Execução penal,não,sim,NA
00007893320228260000,275,0,2022-01-11,NA,13CDC,Execução penal,não,sim,NA
00007901820228260000,99,1,2022-01-11,2022-04-20,8CDC,Tráfico de Drogas e Condutas Afins,não,sim,prejudicado/extinto
00007910320228260000,27,1,2022-01-11,2022-02-07,1CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00007954020228260000,38,1,2022-01-11,2022-02-18,13CDC,Execução penal,não,sim,não conhecido
00007971020228260000,36,1,2022-01-11,2022-02-16,13CDC,Execução penal,não,sim,prejudicado/extinto
00007989220228260000,27,1,2022-01-11,2022-02-07,2CDC,Execução penal,não,sim,não conhecido
00007997720228260000,22,1,2022-01-11,2022-02-02,4CDC,Execução penal,não,sim,denegado
00008014720228260000,275,0,2022-01-11,NA,15CDC,Execução penal,não,sim,NA
00008023220228260000,275,0,2022-01-11,NA,6CDC,Execução penal,não,sim,NA
00008031720228260000,275,0,2022-01-11,NA,6CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00008058420228260000,275,0,2022-01-11,NA,13CDC,Homicídio Simples,não,sim,NA
00008066920228260000,28,1,2022-01-11,2022-02-08,11CDC,Crimes contra o Patrimônio,não,sim,denegado
00008075420228260000,23,1,2022-01-11,2022-02-03,5CDC,Execução penal,não,sim,prejudicado/extinto
00009114620228260000,33,1,2022-01-12,2022-02-14,4CDC,Roubo,não,sim,denegado
00009123120228260000,36,1,2022-01-12,2022-02-17,1CDC,Crimes do Sistema Nacional de Armas,não,sim,denegado
00009131620228260000,65,1,2022-01-12,2022-03-18,13CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00009435120228260000,26,1,2022-01-12,2022-02-07,15CDC,Leve,não,sim,denegado
00009452120228260000,21,1,2022-01-12,2022-02-02,5CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00009478820228260000,274,0,2022-01-12,NA,11CDC,Associação para a Produção e Tráfico e Condutas Afins,não,sim,NA
00009487320228260000,54,1,2022-01-12,2022-03-07,15CDC,Estupro,não,sim,não conhecido
00009573520228260000,28,1,2022-01-12,2022-02-09,9CDC,Crimes contra o Patrimônio,não,sim,não conhecido
00009582020228260000,61,1,2022-01-12,2022-03-14,10CDC,Execução penal,não,sim,denegado
00009634220228260000,36,1,2022-01-12,2022-02-17,7CDC,Execução penal,não,sim,não conhecido
00009669420228260000,13,1,2022-01-12,2022-01-25,8CDC,Roubo,sim,sim,denegado
00009720420228260000,274,0,2022-01-12,NA,14CDC,Execução penal,não,sim,NA
00009738620228260000,274,0,2022-01-12,NA,16CDC,Roubo,não,sim,NA
00009747120228260000,33,1,2022-01-12,2022-02-14,10CDC,Homicídio Simples,não,sim,denegado
00009755620228260000,274,0,2022-01-12,NA,4CDC,Execução penal,não,sim,NA
00009764120228260000,49,1,2022-01-12,2022-03-02,7CDC,Execução penal,não,sim,denegado
00009772620228260000,30,1,2022-01-12,2022-02-11,4CDC,Execução penal,não,sim,denegado
00009816320228260000,35,1,2022-01-12,2022-02-16,16CDC,Homicídio Qualificado,não,sim,denegado
00009824820228260000,8,1,2022-01-12,2022-01-20,6CDC,Tráfico de Drogas e Condutas Afins,sim,sim,denegado
00009841820228260000,21,1,2022-01-12,2022-02-02,6CDC,Extorsão mediante seqüestro,sim,sim,denegado
00009850320228260000,13,1,2022-01-12,2022-01-25,1CDC,Execução penal,não,sim,não conhecido
00009868520228260000,40,1,2022-01-12,2022-02-21,1CDC,Roubo,não,sim,denegado
00009894020228260000,274,0,2022-01-12,NA,6CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00009911020228260000,274,0,2022-01-12,NA,13CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00009929220228260000,13,1,2022-01-12,2022-01-25,5CDC,Tráfico de Drogas e Condutas Afins,sim,sim,denegado
00009971720228260000,29,1,2022-01-12,2022-02-10,2CDC,Furto Qualificado,não,sim,denegado
00010032420228260000,33,1,2022-01-12,2022-02-14,9CDC,Estupro de vulnerável,sim,sim,denegado
00010040920228260000,19,1,2022-01-12,2022-01-31,9CDC,Tráfico de Drogas e Condutas Afins,sim,sim,denegado
00010076120228260000,77,1,2022-01-12,2022-03-30,10CDC,Tráfico de Drogas e Condutas Afins,não,sim,prejudicado/extinto
00010084620228260000,43,1,2022-01-12,2022-02-24,6CDC,Roubo Majorado,não,sim,prejudicado/extinto
00010093120228260000,88,1,2022-01-12,2022-04-10,15CDC,Roubo Majorado,não,sim,não conhecido
00010128320228260000,14,1,2022-01-12,2022-01-26,1CDC,Receptação,sim,sim,não conhecido
00010136820228260000,9,1,2022-01-12,2022-01-21,16CDC,Tráfico de Drogas e Condutas Afins,sim,sim,denegado
00010145320228260000,274,0,2022-01-12,NA,6CDC,Latrocínio,não,sim,NA
00010162320228260000,36,1,2022-01-12,2022-02-17,2CDC,Roubo Majorado,não,sim,denegado
00010189020228260000,98,1,2022-01-12,2022-04-20,11CDC,Roubo,não,sim,prejudicado/extinto
00010249720228260000,274,0,2022-01-12,NA,15CDC,Execução penal,não,sim,NA
00010258220228260000,274,0,2022-01-12,NA,6CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00010266720228260000,274,0,2022-01-12,NA,10CDC,Furto Qualificado,não,sim,NA
00010283720228260000,36,1,2022-01-12,2022-02-17,12CDC,Falsificação de documento público,não,sim,denegado
00010292220228260000,26,1,2022-01-12,2022-02-07,12CDC,Roubo,não,sim,denegado
00010300720228260000,274,0,2022-01-12,NA,8CDC,Roubo,não,sim,NA
00010318920228260000,274,0,2022-01-12,NA,13CDC,Roubo,não,sim,NA
00010327420228260000,26,1,2022-01-12,2022-02-07,2CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00010344420228260000,14,1,2022-01-12,2022-01-26,16CDC,Execução penal,sim,sim,denegado
00010352920228260000,274,0,2022-01-12,NA,13CDC,Roubo,não,sim,NA
00010396620228260000,34,1,2022-01-12,2022-02-15,3CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00010422120228260000,274,0,2022-01-12,NA,NA,Execução penal,não,sim,NA
00010430620228260000,274,0,2022-01-12,NA,13CDC,Furto Qualificado,não,sim,NA
00010448820228260000,30,1,2022-01-12,2022-02-11,2CDC,Latrocínio,não,sim,não conhecido
00010457320228260000,274,0,2022-01-12,NA,13CDC,Estelionato,não,sim,NA
00010465820228260000,44,1,2022-01-12,2022-02-25,14CDC,Homicídio Qualificado,não,sim,denegado
00010482820228260000,274,0,2022-01-12,NA,6CDC,Roubo,não,sim,NA
00010509520228260000,274,0,2022-01-12,NA,6CDC,Execução penal,não,sim,NA
00010526520228260000,274,0,2022-01-12,NA,8CDC,Execução penal,não,sim,NA
00010578720228260000,274,0,2022-01-12,NA,13CDC,Roubo Majorado,não,sim,NA
00011228220228260000,40,1,2022-01-12,2022-02-21,11CDC,Execução penal,não,sim,não conhecido
00011236720228260000,44,1,2022-01-12,2022-02-25,1CDC,Execução penal,não,sim,não conhecido
00011262220228260000,42,1,2022-01-12,2022-02-23,16CDC,Execução penal,não,sim,denegado
00011305920228260000,51,1,2022-01-12,2022-03-04,7CDC,Denunciação caluniosa,não,sim,prejudicado/extinto
00011314420228260000,274,0,2022-01-12,NA,6CDC,Roubo,não,sim,NA
00012881720228260000,273,0,2022-01-13,NA,15CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00012908420228260000,32,1,2022-01-13,2022-02-14,3CDC,Roubo,não,sim,não conhecido
00012933920228260000,21,1,2022-01-13,2022-02-03,7CDC,Execução penal,sim,sim,denegado
00012950920228260000,7,1,2022-01-13,2022-01-20,5CDC,Execução penal,não,sim,não conhecido
00012986120228260000,39,1,2022-01-13,2022-02-21,8CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00013011620228260000,48,1,2022-01-13,2022-03-02,7CDC,Execução penal,não,sim,denegado
00013029820228260000,273,0,2022-01-13,NA,4CDC,Execução penal,não,sim,NA
00013099020228260000,83,1,2022-01-13,2022-04-06,5CDC,Roubo,não,sim,prejudicado/extinto
00013116020228260000,35,1,2022-01-13,2022-02-17,5CDC,Execução penal,não,sim,denegado
00013124520228260000,29,1,2022-01-13,2022-02-11,2CDC,Roubo,não,sim,não conhecido
00013141520228260000,273,0,2022-01-13,NA,16CDC,Seqüestro e cárcere privado,não,sim,NA
