ANO;Municipio;Regiao;V1;V2;V3;V4;V5;V6;V7
2013;Antonina;41001_1ª RS Paranaguá;1.4;1;0;1;24;1;2
2014;Antonina;41001_1ª RS Paranaguá;6.6;0;0;0;21;6;0
2015;Antonina;41001_1ª RS Paranaguá;4.8;0;0;0;17;3;0
2016;Antonina;41001_1ª RS Paranaguá;5.6;0;0;0;26;9;3
2017;Antonina;41001_1ª RS Paranaguá;4.1;0;0;2;17;8;0
2013;Guaraqueçaba;41001_1ª RS Paranaguá;0.1;0;0;0;2;0;0
2014;Guaraqueçaba;41001_1ª RS Paranaguá;0.4;1;1;0;9;0;0
2015;Guaraqueçaba;41001_1ª RS Paranaguá;0.7;0;0;0;6;0;0
2016;Guaraqueçaba;41001_1ª RS Paranaguá;0.7;0;0;1;3;0;0
2017;Guaraqueçaba;41001_1ª RS Paranaguá;1.1;0;0;0;8;1;0
2013;Guaratuba;41001_1ª RS Paranaguá;1.8;3;1;0;37;0;4
2014;Guaratuba;41001_1ª RS Paranaguá;2.6;1;1;0;34;4;5
2015;Guaratuba;41001_1ª RS Paranaguá;1.4;2;0;3;31;17;2
2016;Guaratuba;41001_1ª RS Paranaguá;1.6;7;1;1;38;7;4
2017;Guaratuba;41001_1ª RS Paranaguá;3;4;0;3;35;17;5
2013;Matinhos;41001_1ª RS Paranaguá;0;6;2;1;29;15;1
2014;Matinhos;41001_1ª RS Paranaguá;0;1;0;0;36;22;1
2015;Matinhos;41001_1ª RS Paranaguá;0.1;4;0;2;32;35;3
2016;Matinhos;41001_1ª RS Paranaguá;0;5;0;1;42;37;4
2017;Matinhos;41001_1ª RS Paranaguá;0;8;1;1;27;39;4
2013;Morretes;41001_1ª RS Paranaguá;8.6;2;0;0;35;1;0
2014;Morretes;41001_1ª RS Paranaguá;15.5;1;1;1;24;0;1
2015;Morretes;41001_1ª RS Paranaguá;13.2;1;0;2;13;0;2
2016;Morretes;41001_1ª RS Paranaguá;14.8;2;0;1;19;2;1
2017;Morretes;41001_1ª RS Paranaguá;10.2;1;1;1;29;1;2
2013;Paranaguá;41001_1ª RS Paranaguá;3.5;0;0;4;175;8;1
2014;Paranaguá;41001_1ª RS Paranaguá;1.7;1;0;7;156;8;2
2015;Paranaguá;41001_1ª RS Paranaguá;2.2;3;0;4;163;7;6
2016;Paranaguá;41001_1ª RS Paranaguá;28.2;1;1;9;166;10;4
2017;Paranaguá;41001_1ª RS Paranaguá;61.5;4;0;3;156;25;2
2013;Pontal do Paraná;41001_1ª RS Paranaguá;0.1;0;0;2;23;3;2
2014;Pontal do Paraná;41001_1ª RS Paranaguá;0;5;1;0;24;13;0
2015;Pontal do Paraná;41001_1ª RS Paranaguá;0;0;0;0;20;2;1
2016;Pontal do Paraná;41001_1ª RS Paranaguá;0.1;0;0;1;32;7;2
2017;Pontal do Paraná;41001_1ª RS Paranaguá;0;3;0;3;25;9;1
2013;Adrianópolis;41002_2ª RS Metropolitana;1.2;0;0;0;13;0;0
2014;Adrianópolis;41002_2ª RS Metropolitana;2.8;0;0;0;9;0;0
2015;Adrianópolis;41002_2ª RS Metropolitana;2.9;0;0;0;12;0;0
2016;Adrianópolis;41002_2ª RS Metropolitana;2;0;0;1;10;0;0
2017;Adrianópolis;41002_2ª RS Metropolitana;3.8;0;0;1;10;1;0
2013;Agudos do Sul;41002_2ª RS Metropolitana;21.8;0;0;0;7;0;0
2014;Agudos do Sul;41002_2ª RS Metropolitana;15.5;1;0;0;10;0;0
2015;Agudos do Sul;41002_2ª RS Metropolitana;14.8;1;0;2;9;0;0
2016;Agudos do Sul;41002_2ª RS Metropolitana;14.5;0;0;0;10;1;0
2017;Agudos do Sul;41002_2ª RS Metropolitana;28.2;1;1;0;15;2;0
2013;Almirante Tamandaré;41002_2ª RS Metropolitana;15.3;3;0;5;106;30;4
2014;Almirante Tamandaré;41002_2ª RS Metropolitana;19.8;3;0;8;121;39;4
2015;Almirante Tamandaré;41002_2ª RS Metropolitana;24.7;2;0;8;123;51;8
2016;Almirante Tamandaré;41002_2ª RS Metropolitana;22.5;7;1;4;111;65;8
2017;Almirante Tamandaré;41002_2ª RS Metropolitana;21.03;5;0;6;100;149;4
2013;Araucária;41002_2ª RS Metropolitana;105.6;9;1;3;127;118;8
2014;Araucária;41002_2ª RS Metropolitana;124.3;2;1;12;131;88;4
2015;Araucária;41002_2ª RS Metropolitana;130;3;1;6;144;138;4
2016;Araucária;41002_2ª RS Metropolitana;184.8;3;2;5;169;127;10
2017;Araucária;41002_2ª RS Metropolitana;205.7;5;2;7;157;122;15
2013;Balsa Nova;41002_2ª RS Metropolitana;57.2;2;1;0;16;5;0
2014;Balsa Nova;41002_2ª RS Metropolitana;112.3;2;1;0;12;0;1
2015;Balsa Nova;41002_2ª RS Metropolitana;128.3;0;0;1;13;2;2
2016;Balsa Nova;41002_2ª RS Metropolitana;188.7;0;0;3;18;3;4
2017;Balsa Nova;41002_2ª RS Metropolitana;185.3;0;0;1;17;1;2
2013;Bocaiúva do Sul;41002_2ª RS Metropolitana;3.3;0;0;2;9;0;2
2014;Bocaiúva do Sul;41002_2ª RS Metropolitana;2.9;0;0;0;11;0;1
2015;Bocaiúva do Sul;41002_2ª RS Metropolitana;3.6;0;0;2;13;2;0
2016;Bocaiúva do Sul;41002_2ª RS Metropolitana;4.4;1;0;0;16;2;1
2017;Bocaiúva do Sul;41002_2ª RS Metropolitana;4.3;1;0;0;10;6;0
2013;Campina Grande do Sul;41002_2ª RS Metropolitana;1;3;0;3;41;0;0
2014;Campina Grande do Sul;41002_2ª RS Metropolitana;1.3;1;0;1;40;3;0
2015;Campina Grande do Sul;41002_2ª RS Metropolitana;1.7;1;0;5;52;11;1
2016;Campina Grande do Sul;41002_2ª RS Metropolitana;2.1;0;0;0;51;21;4
2017;Campina Grande do Sul;41002_2ª RS Metropolitana;2.7;4;0;2;37;44;1
2013;Campo do Tenente;41002_2ª RS Metropolitana;87.2;0;0;0;14;1;0
2014;Campo do Tenente;41002_2ª RS Metropolitana;87.4;0;0;0;5;0;0
2015;Campo do Tenente;41002_2ª RS Metropolitana;67.3;0;0;0;15;0;0
2016;Campo do Tenente;41002_2ª RS Metropolitana;96.5;0;0;0;11;2;0
2017;Campo do Tenente;41002_2ª RS Metropolitana;83;2;2;0;7;2;1
2013;Campo Largo;41002_2ª RS Metropolitana;74.1;0;0;10;142;6;3
2014;Campo Largo;41002_2ª RS Metropolitana;155.4;1;0;4;128;7;2
2015;Campo Largo;41002_2ª RS Metropolitana;117.9;2;1;11;137;14;5
2016;Campo Largo;41002_2ª RS Metropolitana;103.5;3;1;4;145;40;4
2017;Campo Largo;41002_2ª RS Metropolitana;108.7;3;2;8;127;14;7
2013;Campo Magro;41002_2ª RS Metropolitana;32.2;2;2;2;25;2;1
2014;Campo Magro;41002_2ª RS Metropolitana;42.7;1;1;3;30;10;0
2015;Campo Magro;41002_2ª RS Metropolitana;48.8;0;0;1;22;8;1
2016;Campo Magro;41002_2ª RS Metropolitana;38.1;3;1;2;27;28;0
2017;Campo Magro;41002_2ª RS Metropolitana;45.3;2;1;2;31;25;2
2013;Cerro Azul;41002_2ª RS Metropolitana;25.7;4;4;1;19;4;1
2014;Cerro Azul;41002_2ª RS Metropolitana;43.7;1;1;4;19;7;1
2015;Cerro Azul;41002_2ª RS Metropolitana;46.5;1;1;4;24;7;1
2016;Cerro Azul;41002_2ª RS Metropolitana;48;0;0;1;18;1;1
2017;Cerro Azul;41002_2ª RS Metropolitana;49.4;0;0;1;14;6;0
2013;Colombo;41002_2ª RS Metropolitana;22.7;6;0;13;217;89;11
2014;Colombo;41002_2ª RS Metropolitana;24.5;9;0;11;218;147;5
2015;Colombo;41002_2ª RS Metropolitana;19.2;13;1;15;251;131;9
2016;Colombo;41002_2ª RS Metropolitana;20.6;3;0;14;230;93;12
2017;Colombo;41002_2ª RS Metropolitana;17.6;15;0;12;224;251;9
2013;Contenda;41002_2ª RS Metropolitana;148;1;1;0;17;0;1
2014;Contenda;41002_2ª RS Metropolitana;153.3;1;0;0;18;0;0
2015;Contenda;41002_2ª RS Metropolitana;188.8;0;0;3;9;0;1
2016;Contenda;41002_2ª RS Metropolitana;268.3;0;0;1;20;2;2
